hospital_name,gender,age,ssn,blood_type,height,weight,temperature,blood_pressure,heart_rate,diagnosis_code,procedure_code,admission_date,discharge_date,medication_name,dosage,allergies,insurance_provider,emergency_contact_name,emergency_contact_phone
error: unable to close due to unfinalized statements or unfinished backups,Female,91,672-49-8556,B,202.06,462.7,41.49,77,134,43411,2262,11/2/2020,9/19/2021,Triclosan,138.95,Latex,Blue Cross Blue Shield,Adriana Carbett,227-657-4426
error: unable to close due to unfinalized statements or unfinished backups,Male,22,512-50-0798,AB,187.61,481.33,30.98,120,84,52141,1809,2/16/2020,1/13/2021,Homeopathic Liquid,952.98,Peanuts,Cigna,Colman Pilipets,615-808-2452
error: unable to close due to unfinalized statements or unfinished backups,Female,107,328-99-5542,A,105.4,725.36,38.88,119,131,28245,9921,4/10/2020,10/16/2020,warfarin sodium,6.99,Penicillin,Aetna,Agneta Pomroy,131-526-1417
error: unable to close due to unfinalized statements or unfinished backups,Bigender,75,278-82-1806,A,111.5,387.24,37.14,129,138,82321,604,8/15/2022,8/20/2020,"Bacitracin Zinc, Polymyxin B Sulfate",773.48,Peanuts,Aetna,Martin Cosyns,458-906-4539
error: unable to close due to unfinalized statements or unfinished backups,Male,87,413-10-1523,B,129.7,467.02,40.14,114,145,2553,8816,6/12/2022,5/14/2022,Treatment Set TS333177,96.65,Penicillin,Aetna,Raff Neno,127-235-4910
error: unable to close due to unfinalized statements or unfinished backups,Female,15,899-85-8218,AB,273.62,496.82,38.03,68,107,37885,8295,9/22/2021,4/14/2022,Metoprolol tartrate,54.23,Penicillin,Aetna,Daloris Bartomeu,600-493-7182
error: unable to close due to unfinalized statements or unfinished backups,Male,49,873-86-9208,AB,26.5,498.74,35.06,94,106,37999,1301,5/10/2022,8/28/2022,ACTIVATED CHARCOAL,970.99,Peanuts,Cigna,Noe Geffen,355-328-3240
error: unable to close due to unfinalized statements or unfinished backups,Male,11,411-98-8572,B,102.23,335.88,42.5,64,144,84200,6062,12/28/2022,7/26/2022,SALICYLIC ACID,864.48,Peanuts,Cigna,Brandyn Jarville,763-461-3556
error: unable to close due to unfinalized statements or unfinished backups,Female,82,896-41-0703,A,152.35,520.2,37.05,90,171,33989,7733,12/9/2021,9/18/2022,RHIZOPUS BATATAS,776.49,Penicillin,Blue Cross Blue Shield,Hally Peniman,730-542-5256
error: unable to close due to unfinalized statements or unfinished backups,Female,25,161-99-7559,O,238.53,922.35,32.58,197,72,03842,7903,1/8/2021,4/22/2020,Methotrexate,781.28,Penicillin,Blue Cross Blue Shield,Melamie Burkwood,657-442-3086
error: unable to close due to unfinalized statements or unfinished backups,Female,37,104-01-8070,B,195.56,392.2,37.66,196,72,E8217,3598,10/22/2020,8/9/2022,"Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl",768.5,Latex,Aetna,Carry Jocelyn,295-311-2759
error: unable to close due to unfinalized statements or unfinished backups,Agender,84,323-91-1732,B,139.63,254.86,31.09,112,130,41000,8113,6/26/2021,8/5/2020,IBUPROFEN AND DIPHENHYDRAMINE HCL,964.97,Peanuts,Cigna,Adam Filasov,827-958-9131
error: unable to close due to unfinalized statements or unfinished backups,Female,118,603-40-3100,B,124.49,211.88,33.87,167,119,2722,7700,6/19/2020,3/11/2020,Dexmedetomidine Hydrochloride,259.19,Latex,Cigna,Helen Leppington,385-327-1110
error: unable to close due to unfinalized statements or unfinished backups,Male,93,675-29-7697,AB,22.59,525.05,36.29,157,50,49311,6382,10/17/2020,8/30/2021,SIMETHICONE,190.61,Peanuts,Cigna,Saunder Swainger,277-579-7410
error: unable to close due to unfinalized statements or unfinished backups,Female,97,745-01-0210,A,89.48,242.05,41.26,76,197,1882,2199,12/1/2022,7/24/2022,sodium phosphate,596.43,Peanuts,Blue Cross Blue Shield,Maddie Kolak,461-796-2132
error: unable to close due to unfinalized statements or unfinished backups,Male,60,760-40-4472,A,112.06,261.99,40.13,153,141,2821,3349,6/19/2022,6/12/2020,Prochlorperazine maleate,754.92,Penicillin,Cigna,Rog Audsley,415-151-0306
error: unable to close due to unfinalized statements or unfinished backups,Male,28,449-69-1593,A,275.26,699.07,35.22,78,101,36830,193,11/1/2020,10/21/2021,"CALCIUM CITRATE, IRON PENTACARBONYL, CHOLECALCIFEROL, .ALPHA.-TOCOPHEROL ACETATE, DL-, PYRIDOXINE HYDROCHLORIDE, FOLIC ACID, DOCUSATE SODIUM, ASCORBIC ACID, THIAMINE, RIBOFLAVIN, NIACINAMIDE, IODINE, ZINC, COPPER, and DOCONEXENT",630.48,Penicillin,Blue Cross Blue Shield,Johnnie Machon,155-641-9300
error: unable to close due to unfinalized statements or unfinished backups,Male,73,488-79-5276,B,166.92,596.43,31.14,191,31,66331,3850,2/5/2020,12/29/2021,Pyrithione Zinc,595.11,Peanuts,Aetna,Curry Carletti,269-647-5379
error: unable to close due to unfinalized statements or unfinished backups,Male,84,264-49-9768,B,200.59,66.37,38.16,171,93,01230,0911,3/25/2020,10/28/2020,Alprazolam,834.53,Peanuts,Blue Cross Blue Shield,Nikolaos Wayte,421-926-4321
error: unable to close due to unfinalized statements or unfinished backups,Male,110,610-27-5609,B,164.96,740.95,37.75,153,169,33900,4826,9/13/2022,10/17/2021,Tolnaftate,742.5,Peanuts,Aetna,Jude Merriman,788-899-3252
error: unable to close due to unfinalized statements or unfinished backups,Non-binary,52,824-54-3971,B,194.6,530.33,36.22,132,74,E9805,5163,9/15/2022,3/11/2020,Duloxetine hydrochloride,592.57,Penicillin,Cigna,Lyndsay Camplejohn,769-725-0575
error: unable to close due to unfinalized statements or unfinished backups,Female,117,655-86-3694,O,30.94,9.52,39.01,111,69,8074,2212,11/4/2022,9/20/2020,Lamotrigine,298.88,Penicillin,Blue Cross Blue Shield,Jenn Luthwood,154-647-8685
error: unable to close due to unfinalized statements or unfinished backups,Female,3,784-30-0973,B,201.95,535.72,40.96,94,53,1714,6111,8/24/2022,6/1/2021,amiodarone hydrochloride,595.44,Latex,Blue Cross Blue Shield,Ree Lowin,553-361-7402
error: unable to close due to unfinalized statements or unfinished backups,Female,78,556-01-2950,B,139.94,987.83,38.33,152,36,59654,9069,4/26/2020,7/19/2020,sus scrofa small intestine mucosa lymph follicle,526.2,Penicillin,Blue Cross Blue Shield,Lilith Chainey,919-253-9166
error: unable to close due to unfinalized statements or unfinished backups,Female,97,487-57-3696,AB,287.46,737.49,31.47,94,131,80483,5591,6/13/2021,5/20/2022,Timolol Maleate,833.91,Latex,Blue Cross Blue Shield,Deina Curman,266-442-5376
error: unable to close due to unfinalized statements or unfinished backups,Male,77,263-68-7242,AB,6.97,555.15,37.34,135,172,86384,0764,6/2/2021,9/22/2021,Bacitracin Zinc,113.52,Penicillin,Aetna,Ringo Peete,191-224-0331
error: unable to close due to unfinalized statements or unfinished backups,Female,59,612-29-6000,AB,160.73,403.2,38.28,89,91,V7219,9136,11/21/2020,11/29/2020,ISOPROPYL ALCOHOL,171.54,Penicillin,Blue Cross Blue Shield,Trudi Pine,191-796-4634
error: unable to close due to unfinalized statements or unfinished backups,Male,48,540-04-5093,AB,3.82,259.98,37.65,145,189,07023,3612,10/6/2021,11/14/2021,"Apis Mellifica, Arsenicum Album, Belladonna, Chamomilla, Lachesis Mutus, Mercurius Solubilis, Pulsatilla",552.54,Latex,Blue Cross Blue Shield,Waylon Peirson,947-393-3784
error: unable to close due to unfinalized statements or unfinished backups,Male,78,500-08-4679,A,197.91,482.7,43.01,186,88,74912,0040,5/11/2020,9/11/2021,Octinoxate and Oxybenzone,920.66,Peanuts,Cigna,Codie Feehely,901-887-5678
error: unable to close due to unfinalized statements or unfinished backups,Male,102,540-87-4558,AB,39.58,241.04,33.49,109,83,E9854,6501,9/21/2022,3/24/2020,"acetaminophen, dextromethorphan hydrobromide and doxylamine succinate",765.9,Peanuts,Blue Cross Blue Shield,Shaun Grigolli,402-803-6005
error: unable to close due to unfinalized statements or unfinished backups,Female,93,848-39-7696,B,188.2,186.74,30.71,74,144,40400,8155,7/24/2022,9/14/2020,Octreotide Acetate,922.53,Latex,Cigna,Jorry Purbrick,503-302-4341
error: unable to close due to unfinalized statements or unfinished backups,Genderqueer,16,564-62-7634,A,159.0,858.41,36.75,184,134,4240,7713,7/25/2020,5/28/2022,Cetirizine HCl,856.15,Peanuts,Cigna,Rockwell Langrish,602-530-1411
error: unable to close due to unfinalized statements or unfinished backups,Male,25,579-97-5475,A,218.14,132.19,30.52,75,174,0652,3149,12/10/2022,2/10/2020,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate",382.84,Peanuts,Cigna,Bentlee Gamage,689-554-0909
error: unable to close due to unfinalized statements or unfinished backups,Female,87,497-39-9889,B,49.89,106.95,37.12,133,53,32742,5779,1/3/2022,2/10/2020,fluticasone propionate and salmeterol,950.53,Penicillin,Blue Cross Blue Shield,Cory Kilsby,864-255-4408
error: unable to close due to unfinalized statements or unfinished backups,Female,76,712-88-7783,B,225.42,512.34,38.57,179,183,37929,132,12/19/2021,7/29/2020,alcohol,769.08,Latex,Cigna,Dorey Ensten,655-891-6131
error: unable to close due to unfinalized statements or unfinished backups,Male,64,415-61-0246,A,60.52,899.06,36.78,161,31,0403,5721,8/16/2022,6/15/2020,WARFARIN SODIUM,838.58,Peanuts,Blue Cross Blue Shield,Dieter Clandillon,286-593-5485
error: unable to close due to unfinalized statements or unfinished backups,Female,107,827-96-0068,B,208.37,742.35,37.14,139,55,65621,6541,5/12/2022,3/16/2022,Dimethicone and Menthol,230.88,Peanuts,Aetna,Golda Scampion,239-285-7571
error: unable to close due to unfinalized statements or unfinished backups,Female,85,608-70-0223,O,50.22,606.49,40.41,185,54,43813,6694,9/26/2020,11/2/2021,WITCH HAZEL,969.32,Latex,Blue Cross Blue Shield,Joey Gowanson,791-662-6877
error: unable to close due to unfinalized statements or unfinished backups,Male,98,701-27-5871,A,102.25,695.72,38.93,100,184,57470,7859,8/30/2021,5/26/2021,Pyrithione Zinc,146.23,Penicillin,Cigna,Upton Hockell,408-266-5573
error: unable to close due to unfinalized statements or unfinished backups,Female,9,699-56-8606,A,69.5,973.31,40.77,101,185,83816,5789,7/22/2021,4/20/2020,Moexipril hydrochloride and hydrochlorothiazide,865.89,Penicillin,Cigna,Susan Innocent,294-701-8725
error: unable to close due to unfinalized statements or unfinished backups,Male,91,185-50-5476,A,166.66,278.46,34.09,175,189,64942,8396,5/9/2021,8/22/2022,ROPIVACAINE HYDROCHLORIDE,241.39,Latex,Cigna,Aksel MacGillavery,587-235-1407
error: unable to close due to unfinalized statements or unfinished backups,Male,68,104-42-6002,O,168.31,465.98,31.3,85,160,80166,3733,4/12/2021,10/1/2020,diphenhydramine hydrochloride,503.68,Penicillin,Cigna,Keenan Minero,286-806-3710
error: unable to close due to unfinalized statements or unfinished backups,Female,50,501-09-2167,A,273.27,648.23,34.34,68,118,E9923,5184,9/1/2021,12/22/2021,urea,561.86,Peanuts,Cigna,Sharlene Bewly,580-270-6056
error: unable to close due to unfinalized statements or unfinished backups,Female,92,662-17-7290,AB,297.63,644.0,32.16,121,90,32726,0061,3/17/2022,11/18/2020,etidronate disodium,626.03,Latex,Aetna,Adena Redmond,505-804-0071
error: unable to close due to unfinalized statements or unfinished backups,Male,69,563-32-5941,AB,147.16,700.4,39.3,177,115,09835,8142,6/23/2022,7/19/2020,"acetaminophen,pheniramine maleate, phenylephrine hydrochloride",583.18,Latex,Aetna,Gideon Croley,240-538-0168
error: unable to close due to unfinalized statements or unfinished backups,Male,115,258-27-7629,AB,194.27,440.74,30.41,95,93,52424,2370,8/21/2020,3/11/2020,METRONIDAZOLE,585.77,Peanuts,Aetna,Nollie Margett,951-212-0361
error: unable to close due to unfinalized statements or unfinished backups,Male,27,840-02-5565,A,203.95,543.92,36.14,177,137,V054,2131,9/4/2022,2/25/2020,Prednisone,646.91,Penicillin,Aetna,Dewie Fero,893-960-2285
error: unable to close due to unfinalized statements or unfinished backups,Female,119,565-88-1667,O,99.29,443.23,42.92,191,95,7392,8085,4/18/2022,12/14/2021,Ibuprofen,459.16,Penicillin,Blue Cross Blue Shield,Carla Bradbeer,541-221-6795
error: unable to close due to unfinalized statements or unfinished backups,Male,116,805-43-6239,A,39.11,790.83,42.81,134,51,80042,4561,2/7/2022,8/28/2020,propranolol hydrochloride,733.36,Peanuts,Aetna,William Wavish,295-627-8185
error: unable to close due to unfinalized statements or unfinished backups,Non-binary,113,816-59-3211,A,103.67,172.98,36.13,84,107,2549,3929,11/22/2022,4/6/2020,"EUCALYPTOL, MENTHOL, METHYL SALICYLATE, THYMOL",805.56,Penicillin,Aetna,Ninette Jefferd,548-584-3529
error: unable to close due to unfinalized statements or unfinished backups,Male,87,846-24-6354,AB,200.61,773.21,33.5,71,74,7829,3162,9/4/2022,3/8/2022,"Acetaminophen, guaifenesin, phenylephrine HCl",340.46,Peanuts,Blue Cross Blue Shield,Ali Gabe,764-896-5165
error: unable to close due to unfinalized statements or unfinished backups,Genderfluid,55,536-30-4406,A,252.28,554.29,44.61,66,194,V8531,1234,5/26/2022,9/8/2021,Octinoxate,507.82,Penicillin,Cigna,Maible Orrocks,729-492-4081
error: unable to close due to unfinalized statements or unfinished backups,Male,70,551-43-9318,AB,292.45,723.8,30.39,125,175,94356,5497,11/19/2020,9/27/2021,TIZANIDINE,329.7,Penicillin,Cigna,Iggy Oehme,725-985-2126
error: unable to close due to unfinalized statements or unfinished backups,Female,29,415-98-4931,B,180.6,247.23,37.06,102,82,E0079,3778,2/12/2022,3/13/2022,Sulfamethoxazole and Trimethoprim,613.07,Peanuts,Blue Cross Blue Shield,Neile Knutsen,395-102-0967
error: unable to close due to unfinalized statements or unfinished backups,Female,101,363-87-3580,B,193.08,82.62,36.56,138,56,4170,3484,10/11/2022,3/14/2022,Russian Olive,177.56,Penicillin,Aetna,Willamina Cornelisse,721-809-7948
error: unable to close due to unfinalized statements or unfinished backups,Female,50,269-59-1664,AB,172.01,410.58,43.91,142,117,66020,4519,8/30/2022,10/18/2020,"Grain and Seed Antigen, Arsenicum Album, Lycopodium Clavatum, Natrum Muriaticum, Sulphur",890.69,Peanuts,Cigna,Gusella Maha,987-382-3512
error: unable to close due to unfinalized statements or unfinished backups,Male,10,703-65-5064,B,26.81,829.25,42.95,129,34,4280,9996,4/11/2021,4/28/2021,(WHOLE PLANT),882.33,Peanuts,Aetna,Decca Arens,487-113-3559
error: unable to close due to unfinalized statements or unfinished backups,Male,95,333-71-6803,B,198.08,735.07,34.15,180,140,94332,8372,6/22/2022,10/13/2021,Carboxymethylcellulose Sodium,226.96,Latex,Cigna,Dennison Duxbury,781-316-7007
error: unable to close due to unfinalized statements or unfinished backups,Male,0,871-81-8930,B,228.85,186.92,30.04,165,113,66300,5671,7/10/2022,8/5/2022,rosiglitazone maleate and metformin hydrochloride,468.31,Peanuts,Aetna,Brent Renahan,291-417-7678
error: unable to close due to unfinalized statements or unfinished backups,Female,94,325-75-3916,O,268.61,148.19,42.71,200,42,80096,3452,2/25/2022,4/25/2021,podofilox,559.93,Latex,Blue Cross Blue Shield,Melva Itchingham,739-971-0013
error: unable to close due to unfinalized statements or unfinished backups,Female,102,626-40-9190,A,34.97,565.91,39.98,169,65,17320,1473,7/1/2022,7/27/2022,CleanWell Natural Antibacterial Foaming Spearmint Lime,554.67,Peanuts,Blue Cross Blue Shield,Darcee Klich,505-160-1396
error: unable to close due to unfinalized statements or unfinished backups,Female,42,872-47-1410,O,129.61,316.08,44.2,71,97,94155,2931,9/3/2020,8/26/2022,EUCALYPTOL,707.77,Peanuts,Aetna,Carrie Novill,561-851-5989
error: unable to close due to unfinalized statements or unfinished backups,Male,0,462-58-3246,AB,44.41,818.57,38.18,125,174,E8613,9323,5/21/2022,12/16/2020,incobotulinumtoxinA,212.68,Peanuts,Cigna,Ban Hearfield,967-764-4857
error: unable to close due to unfinalized statements or unfinished backups,Female,93,548-68-1409,B,48.86,625.16,38.33,193,139,430,2311,10/26/2020,6/4/2020,Levothyroxine Sodium,848.67,Peanuts,Blue Cross Blue Shield,Carlye Myles,201-648-8604
error: unable to close due to unfinalized statements or unfinished backups,Male,22,627-97-6677,AB,130.45,365.35,43.43,127,127,5649,7931,12/13/2020,4/15/2020,PHENYLEPHRINE HYDROCHLORIDE,606.66,Latex,Aetna,Arnuad Rikel,234-806-0873
error: unable to close due to unfinalized statements or unfinished backups,Male,111,460-77-4362,AB,38.83,287.17,30.07,109,55,07812,9025,4/16/2021,1/26/2021,Alcohol,953.5,Peanuts,Aetna,Scottie Willment,552-280-9361
error: unable to close due to unfinalized statements or unfinished backups,Male,31,599-53-7839,O,80.58,669.17,32.54,183,110,36614,9232,2/13/2022,9/4/2021,"Acetaminophen, Caffeine, Pyrilamine maleate",70.33,Peanuts,Blue Cross Blue Shield,Arin Ilchenko,506-412-4648
error: unable to close due to unfinalized statements or unfinished backups,Female,116,498-26-8034,AB,198.94,231.01,44.74,80,140,V2031,9933,9/19/2021,6/21/2021,Glycerin,757.94,Peanuts,Blue Cross Blue Shield,Gertrud Olifard,961-743-3232
error: unable to close due to unfinalized statements or unfinished backups,Female,103,845-29-4330,B,187.33,412.76,39.79,135,182,V4363,9703,5/30/2020,5/14/2021,"OCTINOXATE, OCTISALATE, OXYBENZONE, and TITANIUM DIOXIDE",761.72,Latex,Blue Cross Blue Shield,Agatha Chalfant,276-373-3208
error: unable to close due to unfinalized statements or unfinished backups,Male,102,505-49-1864,O,57.51,245.15,34.57,125,75,E8844,9231,9/3/2020,1/25/2022,Lisinopril,107.28,Penicillin,Cigna,Sigmund Dana,468-959-1246
error: unable to close due to unfinalized statements or unfinished backups,Female,87,799-25-5747,B,141.18,105.16,36.96,124,80,7294,8593,5/15/2021,9/17/2021,Avobenzone Homosalate Octisalate Octocrylene Oxybenzone,678.54,Penicillin,Cigna,Danya Chandler,915-924-1988
error: unable to close due to unfinalized statements or unfinished backups,Male,65,788-43-8498,B,94.36,330.84,41.22,107,194,90300,196,9/9/2020,7/22/2021,"Avobenzone, Homosalate, Octisalate, and Octocrylene",545.19,Latex,Aetna,Tito Tillerton,323-997-0880
error: unable to close due to unfinalized statements or unfinished backups,Male,66,211-44-6735,O,191.15,334.5,42.41,195,42,52114,0741,6/8/2020,3/14/2022,Octinoxate,763.07,Peanuts,Aetna,Diarmid Swansborough,676-895-2395
error: unable to close due to unfinalized statements or unfinished backups,Female,91,464-01-8114,AB,2.05,71.19,44.03,198,137,75011,5673,1/3/2021,4/26/2021,cyclobenzaprine hydrochloride,319.52,Peanuts,Aetna,Lorena Marking,811-822-3551
error: unable to close due to unfinalized statements or unfinished backups,Male,112,200-50-3001,O,233.01,794.48,42.62,157,98,42612,4701,5/14/2020,5/22/2020,not applicable,732.79,Penicillin,Cigna,Vance Oakshott,622-651-1573
error: unable to close due to unfinalized statements or unfinished backups,Male,42,882-50-9971,A,80.61,479.15,32.51,155,133,33385,8385,8/1/2022,12/19/2021,Adenosine,247.85,Peanuts,Cigna,Curry Gimbrett,130-947-3456
error: unable to close due to unfinalized statements or unfinished backups,Male,15,467-71-1438,O,201.77,623.27,33.54,173,111,71984,7718,1/19/2022,3/28/2022,CAPSAICIN,278.0,Penicillin,Aetna,Marwin Fullerlove,971-349-7259
error: unable to close due to unfinalized statements or unfinished backups,Male,5,395-06-7934,A,33.17,281.15,40.53,146,58,E8652,2892,1/26/2022,3/7/2021,PECTIN,237.91,Peanuts,Blue Cross Blue Shield,Randie Tomasian,636-518-9848
error: unable to close due to unfinalized statements or unfinished backups,Female,14,353-29-4250,A,110.45,830.55,44.75,92,119,82310,1422,7/12/2022,7/19/2021,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,962.65,Penicillin,Blue Cross Blue Shield,Karna Northall,472-473-5179
error: unable to close due to unfinalized statements or unfinished backups,Male,113,224-23-7720,O,270.51,328.9,32.77,193,135,83315,7729,8/31/2022,9/26/2021,Cyclobenzaprine Hydrochloride,120.82,Peanuts,Cigna,Sanders Danielsson,888-419-0049
error: unable to close due to unfinalized statements or unfinished backups,Male,5,448-58-0322,O,277.53,637.45,32.72,198,66,37900,3322,9/9/2020,12/7/2021,ALCOHOL,681.4,Peanuts,Blue Cross Blue Shield,Guglielmo Slocumb,342-329-7133
error: unable to close due to unfinalized statements or unfinished backups,Female,43,781-62-4912,B,250.89,165.86,38.99,66,97,V4360,3925,1/11/2020,2/14/2021,risperidone,755.06,Penicillin,Aetna,Karol Tibbotts,117-230-7166
error: unable to close due to unfinalized statements or unfinished backups,Female,53,852-62-4387,AB,248.77,465.48,35.32,153,154,5715,9355,1/17/2022,4/4/2022,Aspirin,508.23,Latex,Cigna,Amelia Marvelley,447-573-0390
error: unable to close due to unfinalized statements or unfinished backups,Female,57,818-22-5180,O,176.46,298.15,41.02,94,194,5304,4824,3/13/2021,7/25/2022,Hydralazine Hydrochloride,196.4,Penicillin,Cigna,Dania Bewly,584-151-5151
error: unable to close due to unfinalized statements or unfinished backups,Male,120,257-93-9460,A,270.32,782.26,42.13,153,97,37923,7899,2/6/2021,4/3/2022,Bismuth subsalicylate,816.17,Latex,Blue Cross Blue Shield,Nicholas Alvy,269-235-6054
error: unable to close due to unfinalized statements or unfinished backups,Female,85,874-41-0915,O,255.34,799.44,40.21,61,109,85149,5122,3/3/2022,2/3/2022,"Abrotanum, Aesculus hipp., Allium sativum, Arsenicum alb., Artemisia, Baptisia, Cina, Cuprum met., Filix mas, Granatum, Ipecac, Lachesis, Lycopodium, Merc. viv, Naphthalinum, Nat. mur., Nux vom., Pulsatilla, Ratanhia, Ruta, Sabadilla, Santoninum, Silicea, Spigelia anth., Terebinthina, Teucrium marum, Thymolum, Zingiber, Juglans regia",986.88,Latex,Aetna,Pavia Dolbey,713-405-7955
